Topic 1,Topic 2,Co-occurrence Count
2020,5781,720.0
Choice,Free Will,720.0
Devarim,Student Work,720.0
Devarim,Middle School,720.0
High Holidays,Jonah,720.0
Maimonides,Tshuva,720.0
Rambam,Tshuva,720.0
Learning,Rabbi Shimon Bar Yochai,717.5
Baal HaSulam,Rabbi Yehuda Ashlag,717.0
Baal HaSulam,Vital Transformation,714.0
Baal HaSulam,Rabbi Eliyahu Jian,714.0
5781,Sermons,712.0
Tanakh,Torah,712.0
Matzah,Passover,711.0
Holidays,d'Var Torah,709.5
Commandments,Food,704.0
Prayer,Shema,704.0
High Holidays,Tanakh,700.0
Hillel and Shammai,Korach,700.0
Obligation,Prayer,698.5
Abraham,Parashat Vayera,696.5
Midrash,Tanakh,696.0
Rabbi Shimon Bar Yochai,Tikkunei Zohar,696.0
Learning,Study,693.0
אמונות ודעות,חיי אדם,691.0
Matzah,Pesach,688.0
Omer,Shavuot,682.0
Parsha,Tanakh,682.0
Education,Study,679.0
Maharat,Talmud,679.0
Rambam,Sin,679.0
Rabbi Eliyahu Jian,Rashbi,678.0
Rabbi Shimon Bar Yochai,Rashbi,678.0
Rabbi Yehuda Ashlag,Rashbi,678.0
Rashbi,Tikkunei Zohar,678.0
Berachot,Blessings,675.0
Gender,LGBT,675.0
Prayer,Tanakh,675.0
Rashbi,Vital Transformation,675.0
Community,Holidays,674.5
2020,Sermons,672.0
Baal HaSulam,Tikkunei Zohar,672.0
Commandments,Eating,671.0
Baal HaSulam,Rabbi Shimon Bar Yochai,669.0
Baal HaSulam,Rabbi Yehuda Tzvi Brandwein,669.0
Baal HaSulam,Penimiut,669.0
LGBT,Transgender,666.0
RJPS,Tanakh,666.0
Blessings,Thanksgiving,665.5
Holidays,Purim,665.5
Repentance,Teshuva,665.0
Creation,Tanakh,664.0
Elul,Yom Kippur,664.0
Repentance,Teshuvah,664.0
אדם ומרחב,ארץ ישראל,664.0
יחיד וחברה,תיקון עולם,664.0
Baal HaSulam,Rashbi,663.0
Penimiut,Tikkunei Zohar,663.0
Rabbi Yehuda Tzvi Brandwein,Rashbi,663.0
Penimiut,Rabbi Shimon Bar Yochai,657.0
Community,Friendship,656.0
Darkness,Light,656.0
God,Tzelem Elohim,656.0
Lulav,Sukkot,656.0
Abraham,Obligation,655.0
Penimiut,Rashbi,654.0
Eating,Kashrut,652.0
Education,Torah,650.0
Hanukkah,Menorah,648.0
Mitzvot,Purim,648.0
New Year,Rosh Hashanah,647.5
Abraham,Israel,645.0
Chanukah,Menorah,645.0
Education,Tikkunei Zohar,644.0
Sermons,Sermons on Sefaria,644.0
Devash,Midrash,640.5
Mitzvot,Women,639.0
Community,Machloket,637.5
Community,D’var Torah,637.5
High Holidays,Maimonides,637.0
Holidays,Pesach,637.0
Elul,Rosh Hashanah,636.0
Mitzvot,Tefilla,636.0
Prophets,Tanakh,636.0
Talmud,Tanakh,636.0
Egypt,Pesach,635.0
Hillel,Hillel and Shammai,633.0
אמונות ודעות,העם היהודי,633.0
Creation,Tzelem Elohim,628.0
God,Moses,628.0
Masks,Purim,628.0
Commandments,Sukkot,627.0
Biblical Hebrew,Tanakh,626.5
Learning,Tikkunei Zohar,626.5
Ecology,Trees,626.0
Blessings,Tefilla,625.0
Candles,Hanukkah,621.5
Holidays,Law,621.5
Hebrew,The Hebrew Language,620.0
Parashat Yitro,Ten Commandments,620.0
Bible,Gender,616.0
Biblical Hebrew,Hebrew,616.0
Blessings,God,616.0
Feminism,Women,616.0
Trees,Tu Bishvat,616.0
אמונה,אמונות ודעות,615.0
Community,Society,608.0
מעגל השנה,תרבות,606.0
Bible,Hebrew,605.0
Hanukkah,Sukkot,605.0
Candles,Menorah,604.5
אחריות וסולידריות,אמונות ודעות,604.5
Love,Torah,604.0
חיי אדם,משפחה,604.0
Gender,Women,603.0
God,Philosophy,600.0
Isaac,Jacob,598.5
אמונות ודעות,מנהיגות,598.5
5781,Sermons on Sefaria,596.0
Law,Torah,596.0
Noah,Parashat Noach,595.0
Community,Israel,594.0
Law,Rambam,594.0
Law,Maimonides,594.0
Abraham,Community,592.0
Debate,Discussion,591.5
ספר בראשית,פרשת השבוע,590.0
High Holidays,Prayer,588.5
Prayer,Tzedakah,585.0
Study,Vital Transformation,585.0
Aaron,Moses,584.5
God,Maharat,584.5
Kabbalah,Study,581.0
Purim,Vashti,581.0
Economic Justice,Justice,580.0
Gender,Trans Torah,580.0
Shemitah,Shmita,580.0
2020,Sermons on Sefaria,576.0
Food,Mitzvot,576.0
Legal Text,Tzedakah,576.0
Hillel and Shammai,Machloket,575.0
Blessings,Commandments,574.0
Poverty,Tikkun Olam,573.0
